estrategia,R
IB_1R,1.0
IB_1R,-0.7729
IB_1R,-1.0
IB_1R,1.0
IB_2R,2.0
IB_2R,-0.7729
IB_2R,-1.0
IB_2R,-1.0
IB_3R,3.0
IB_3R,-0.7729
IB_3R,-1.0
IB_3R,-1.0
IB_parc2R,2.5
IB_parc2R,-0.7729
IB_parc2R,-1.0
IB_parc2R,-1.0
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.7143
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6452
DIDI_pivo_TRIX,2.1949
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.3864
DIDI_pivo_TRIX,9.3529
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.3249
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.4498
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.2024
DIDI_pivo_ADX,-0.5
DIDI_pivo_ADX,-0.1111
DIDI_pivo_ADX,0.2
DIDI_pivo_ADX,0.0
DIDI_pivo_ADX,-0.3667
DIDI_pivo_ADX,0.7048
DIDI_pivo_ADX,-0.0309
DIDI_pivo_ADX,-0.0238
DIDI_pivo_ADX,-0.4
DIDI_pivo_ADX,0.9241
DIDI_pivo_ADX,-0.0769
DIDI_pivo_ADX,1.4286
DIDI_pivo_ADX,-0.1121
DIDI_pivo_ADX,-0.1786
DIDI_pivo_ADX,0.1429
DIDI_pivo_ADX,1.5914
DIDI_pivo_ADX,0.4718
DIDI_pivo_ADX,-0.4934
DIDI_pivo_ADX,-0.4733
DIDI_pivo_ADX,-0.2514
DIDI_pivo_ADX,-0.1944
DIDI_pivo_ADX,-0.0503
DIDI_pivo_ADX,-0.0893
DIDI_pivo_ADX,-0.3838
DIDI_pivo_ADX,-0.3077
DIDI_pivo_ADX,-0.2193
DIDI_pivo_ADX,-0.2121
DIDI_pivo_ADX,0.0795
DIDI_pivo_ADX,-0.3824
DIDI_pivo_ADX,-0.6118
DIDI_pivo_ADX,1.4524
DIDI_pivo_ADX,-0.1724
DIDI_pivo_ADX,-0.0452
DIDI_pivo_ADX,0.1089
DIDI_pivo_ADX,0.0762
DIDI_pivo_ADX,-0.6511
DIDI_pivo_ADX,-0.7132
DIDI_pivo_ADX,-0.103
DIDI_pivo_ADX,-0.3222
DIDI_pivo_ADX,1.8095
DIDI_pivo_ADX,-0.1417
DIDI_pivo_ADX,-0.0891
DIDI_pivo_ADX,-0.0984
DIDI_pivo_ADX,-0.2295
DIDI_pivo_ADX,1.2024
IB_1R,1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_2R,2.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,2.0
IB_2R,-1.0
IB_2R,2.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,0.6462
IB_2R,-0.439
IB_2R,-1.0
IB_2R,2.0
IB_3R,3.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,3.0
IB_3R,-1.0
IB_3R,3.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,0.6462
IB_3R,-0.439
IB_3R,-1.0
IB_3R,3.0
IB_parc2R,1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,0.6462
IB_parc2R,-0.439
IB_parc2R,-1.0
IB_parc2R,2.5
DIDI_pivo_TRIX,1.8319
DIDI_pivo_TRIX,0.7765
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.115
