data,ticker,market,sistema,entrada,stop,alvo_2r,r_pct,tipo,mme70,confluencia,bb_primeira,didi_ago,adx_ago,acima_ema70,ema70_incl,quality,vol_qtd,var_dia_pct
2026-09-19,ARKK,EUA,DIDI,88.23,82.42,99.85,6.59,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,77.8,4398400.0,0.78
2026-09-20,ACA,EUA,DIDI,145.84,145.0,147.52,0.58,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,100.0,1247400.0,0.27
2026-09-20,ADI,EUA,DIDI,375.72,356.12,414.92,5.22,3JUNTOS,ACIMA_LAT,True,True,0,0,True,desce,93.7,7701300.0,3.47
2026-09-20,MSTR,EUA,DIDI,153.92,121.38,219.0,21.14,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,91.2,54407200.0,12.7
2026-09-20,SNDK,EUA,DIDI,1791.82,1435.61,2504.24,19.88,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,88.6,17693500.0,10.25
2026-09-20,COIN,EUA,DIDI,194.25,172.03,238.69,11.44,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,80.0,21861700.0,9.03
2026-09-20,HALO,EUA,DIDI,112.45,103.47,130.41,7.99,ABERTURA,ACIMA_SUB,False,True,1,1,True,sobe,87.6,10183400.0,2.49
2026-09-20,MXL,EUA,DIDI,81.12,64.71,113.94,20.23,ABERTURA,ACIMA_SUB,False,True,1,2,True,sobe,62.2,4906400.0,6.61
2026-09-20,AVT,EUA,DIDI,96.12,86.36,115.63,10.15,ABERTURA,ACIMA_SUB,False,True,0,1,True,sobe,61.0,2684900.0,2.46
2026-09-20,DXCM,EUA,DIDI,89.35,82.29,103.47,7.9,ADXHOJE,ACIMA_SUB,False,False,2,0,True,sobe,73.0,14573000.0,1.73
2026-09-20,CASH3,B3,DIDI,5.73,5.13,6.93,10.47,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,98.1,1753000.0,3.24
2026-09-20,ARKK,EUA,DIDI,88.23,82.42,99.85,6.59,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,77.8,4398400.0,0.78
2026-09-21,GLXY,EUA,DIDI,26.07,21.61,34.99,17.11,3JUNTOS,ACIMA_LAT,True,True,0,0,True,desce,90.4,6885424.0,0.46
2026-09-21,WBD,EUA,DIDI,30.8,27.91,36.58,9.38,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,98.3,233836583.0,3.46
2026-09-21,BMNR,EUA,DIDI,28.25,22.16,40.43,21.56,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,96.9,51756153.0,2.5
2026-09-21,SNOW,EUA,DIDI,339.39,317.45,383.27,6.46,ABERTURA,ACIMA_SUB,False,True,1,,True,sobe,80.8,3686505.0,1.12
2026-09-21,SMCI,EUA,DIDI,41.2,35.36,52.88,14.17,ABERTURA,ACIMA_SUB,False,True,1,2,True,sobe,79.8,47696820.0,1.4
2026-09-21,TSLA,EUA,DIDI,375.3,354.05,417.8,5.66,ABERTURA,ACIMA_LAT,False,True,1,0,True,lado,78.5,36296184.0,0.98
2026-09-21,KMI,EUA,DIDI,31.72,30.41,34.34,4.13,ABERTURA,ACIMA_LAT,False,True,1,1,True,desce,77.5,12019332.0,0.28
2026-09-21,MRK,EUA,DIDI,149.5,142.32,163.86,4.8,ABERTURA,ACIMA_SUB,False,True,2,0,True,sobe,77.2,7661468.0,1.85
2026-09-21,SMCIP,EUA,DIDI,68.83,60.28,85.93,12.42,ABERTURA,ACIMA_LAT,False,True,1,2,True,,76.7,368907.0,1.55
2026-09-21,CBRS,EUA,DIDI,208.49,177.53,270.41,14.85,ABERTURA,ABAIXO,False,True,1,,False,desce,75.7,6867355.0,4.25
2026-09-21,CIFR,EUA,DIDI,18.9,14.85,27.0,21.43,ABERTURA,ACIMA_LAT,False,True,1,,True,desce,72.3,42234187.0,1.26
2026-09-21,MDB,EUA,DIDI,407.3,354.11,513.68,13.06,ABERTURA,ACIMA_SUB,False,True,5,0,True,sobe,70.3,1248523.0,5.26
2026-09-21,HIMS,EUA,DIDI,29.35,26.73,34.59,8.93,ABERTURA,ABAIXO,False,True,1,0,False,desce,67.0,8307384.0,2.98
2026-09-21,LOGI,EUA,DIDI,105.12,96.72,121.92,7.99,ABERTURA,ACIMA_LAT,False,True,2,,True,lado,66.5,878453.0,0.64
2026-09-21,TWLO,EUA,DIDI,266.06,221.86,354.46,16.61,ABERTURA,ACIMA_SUB,False,True,4,,True,sobe,54.3,3018497.0,7.66
2026-09-21,PLTR,EUA,DIDI,183.09,164.55,220.17,10.13,ADXHOJE,ACIMA_SUB,False,False,3,0,True,sobe,84.4,21901618.0,2.44
2026-09-21,CGON,EUA,DIDI,78.25,70.0,94.75,10.54,ADXHOJE,ACIMA_SUB,False,False,3,0,True,sobe,80.1,1061936.0,3.31
2026-09-21,LLY,EUA,DIDI,1164.89,1113.29,1268.09,4.43,ADXHOJE,ACIMA_LAT,False,False,3,0,True,lado,70.9,2228492.0,1.78
2026-09-21,RMBS,EUA,DIDI,96.96,80.0,130.88,17.49,ADXHOJE,ABAIXO,False,False,1,0,False,desce,58.6,4245268.0,7.19
2026-09-21,STRC,EUA,DIDI,98.78,96.99,102.36,1.81,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,56.5,1840784.0,0.03
2026-09-21,SKYY,EUA,DIDI,168.21,156.31,192.01,7.07,ADXHOJE,ACIMA_SUB,False,False,4,0,True,sobe,87.8,254599.0,3.09
2026-09-21,EURAUD=X,EUA,DIDI,1.61,1.61,1.6,0.29,ABERTURA,ABAIXO,False,True,0,2,False,lado,85.7,0.0,-0.18
2026-09-21,SIMH3,B3,DIDI,8.27,7.26,10.29,12.21,3JUNTOS,ACIMA_LAT,True,True,0,0,True,lado,73.7,5459100.0,7.12
2026-09-21,ENEV3,B3,DIDI,27.97,26.26,31.39,6.11,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,72.2,11715900.0,1.71
2026-09-21,RDOR3,B3,DIDI,38.12,36.31,41.74,4.75,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,69.6,6167500.0,1.25
2026-09-21,ABCB4,B3,DIDI,25.28,24.34,27.16,3.72,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,67.7,583100.0,1.73
2026-09-21,IGTI11,B3,DIDI,26.95,25.32,30.21,6.05,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,63.2,3918500.0,2.08
2026-09-21,ALOS3,B3,DIDI,29.7,27.82,33.46,6.33,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,62.1,5889600.0,2.38
2026-09-21,VIVA3,B3,DIDI,23.82,21.88,27.7,8.14,ABERTURA,ACIMA_LAT,False,True,1,0,True,lado,82.7,4976500.0,5.31
2026-09-21,VAMO3,B3,DIDI,3.66,3.13,4.72,14.48,ABERTURA,ACIMA_SUB,False,True,1,0,True,sobe,67.3,19148100.0,4.57
2026-09-21,MOVI3,B3,DIDI,8.45,7.51,10.33,11.12,ABERTURA,ACIMA_LAT,False,True,1,0,True,desce,65.6,6607500.0,4.97
2026-09-21,RENT3,B3,DIDI,37.44,34.55,43.22,7.72,ABERTURA,ABAIXO,False,True,2,0,False,desce,64.6,8596900.0,2.02
2026-09-21,DXCO3,B3,DIDI,5.71,5.37,6.39,5.95,ABERTURA,ACIMA_SUB,False,True,1,0,True,sobe,59.0,1552700.0,1.42
2026-09-21,IRBR3,B3,DIDI,63.43,59.09,72.11,6.84,ABERTURA,ACIMA_SUB,False,True,1,0,True,sobe,49.0,1688300.0,1.88
2026-09-21,B3SA3,B3,DIDI,18.23,16.81,21.07,7.79,ABERTURA,ACIMA_SUB,False,True,3,0,True,sobe,48.6,48904800.0,2.53
2026-09-21,ONCO3,B3,DIDI,1.31,0.92,2.09,29.77,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,58.7,19483800.0,6.5
2026-09-21,EZTC3,B3,DIDI,13.82,12.52,16.42,9.41,ADXHOJE,ACIMA_SUB,False,False,3,0,True,sobe,52.3,4285600.0,2.98
2026-09-21,MULT3,B3,DIDI,31.52,29.11,36.34,7.65,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,46.5,6269400.0,1.94
2026-09-24,HUBB,EUA,DIDI,463.7,435.71,519.67,6.04,ADXHOJE,ABAIXO,False,False,2,0,False,desce,66.6,603089.0,1.95
2026-09-24,CSAN3,B3,DIDI,3.89,3.5,4.67,10.03,ABERTURA,ACIMA_LAT,False,True,2,0,True,desce,74.9,35254400.0,5.71
2026-09-24,MGLU3,B3,DIDI,6.12,5.41,7.54,11.6,ABERTURA,ACIMA_SUB,False,True,4,0,True,sobe,46.4,37739400.0,5.34
2026-09-24,EURGBP=X,EUA,DIDI,0.86,0.86,0.87,0.56,ABERTURA,ACIMA_LAT,False,True,3,1,True,lado,89.0,0.0,0.05
2026-09-24,GRMN,EUA,DIDI,287.58,268.67,325.4,6.58,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,88.0,593500.0,1.34
2026-09-24,IR,EUA,DIDI,76.22,70.94,86.77,6.92,3JUNTOS,ABAIXO,True,True,0,0,False,desce,65.4,8572700.0,3.87
2026-09-24,U,EUA,DIDI,44.1,40.22,51.86,8.8,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,87.1,10375000.0,0.62
2026-09-24,AAON,EUA,DIDI,82.36,74.08,98.92,10.05,ABERTURA,ABAIXO,False,True,1,0,False,desce,85.5,1916000.0,4.7
2026-09-24,BIIB,EUA,DIDI,227.53,208.93,264.73,8.17,ABERTURA,ACIMA_SUB,False,True,5,2,True,sobe,70.1,1494300.0,0.26
2026-09-24,ACMR,EUA,DIDI,80.67,62.78,116.45,22.18,ABERTURA,ACIMA_LAT,False,True,1,0,True,desce,57.0,2819400.0,8.06
2026-09-24,STX,EUA,DIDI,923.86,758.35,1254.88,17.92,ABERTURA,ACIMA_SUB,False,True,1,,True,sobe,54.1,3242800.0,1.17
2026-09-24,AVT,EUA,DIDI,101.15,90.9,121.65,10.13,ABERTURA,ACIMA_SUB,False,True,2,3,True,sobe,48.6,1764800.0,2.89
2026-09-24,HPE,EUA,DIDI,62.33,54.88,77.23,11.95,ABERTURA,ACIMA_SUB,False,True,4,,True,sobe,36.8,14964400.0,0.16
2026-09-24,FAST,EUA,DIDI,50.99,48.06,56.85,5.75,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,80.8,7963200.0,1.74
2026-09-24,TXN,EUA,DIDI,272.62,248.13,321.6,8.98,ADXHOJE,ACIMA_LAT,False,False,1,0,True,desce,76.7,5555000.0,0.42
2026-09-24,ENTG,EUA,DIDI,150.93,126.63,199.53,16.1,ADXHOJE,ACIMA_LAT,False,False,1,0,True,lado,75.7,1897700.0,0.77
2026-09-24,WDC,EUA,DIDI,473.69,407.12,606.83,14.05,ADXHOJE,ABAIXO,False,False,2,0,False,desce,73.7,5027600.0,2.32
2026-09-24,NDSN,EUA,DIDI,321.42,306.03,352.2,4.79,ADXHOJE,ACIMA_SUB,False,False,2,0,True,sobe,71.0,373500.0,0.95
2026-09-24,AME,EUA,DIDI,246.45,230.01,279.33,6.67,ADXHOJE,ACIMA_LAT,False,False,1,0,True,lado,70.5,1466600.0,1.12
2026-09-24,ZBRA,EUA,DIDI,371.02,338.67,435.72,8.72,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,70.3,652300.0,2.21
2026-09-24,GGG,EUA,DIDI,78.37,75.68,83.75,3.43,ADXHOJE,ACIMA_LAT,False,False,1,0,True,desce,68.0,1333400.0,1.4
2026-09-24,ITT,EUA,DIDI,211.94,192.62,250.58,9.12,ADXHOJE,ACIMA_SUB,False,False,2,0,True,sobe,66.8,747000.0,1.81
2026-09-24,AKAM,EUA,DIDI,118.44,102.5,150.32,13.46,ADXHOJE,ACIMA_LAT,False,False,1,0,True,desce,64.0,3919400.0,0.95
2026-09-24,WSO,EUA,DIDI,325.37,301.95,372.21,7.2,ADXHOJE,ABAIXO,False,False,1,0,False,desce,60.5,449900.0,0.24
2026-09-24,POWL,EUA,DIDI,192.62,167.31,243.24,13.14,ADXHOJE,ABAIXO,False,False,2,0,False,desce,57.1,345200.0,0.21
2026-09-24,DE,EUA,DIDI,709.48,665.45,797.54,6.21,ADXHOJE,ACIMA_SUB,False,False,3,0,True,sobe,43.8,1819000.0,1.06
2026-09-24,CDNS,EUA,DIDI,309.09,273.07,381.13,11.65,ADXHOJE,ABAIXO,False,False,1,0,False,desce,38.6,3589300.0,1.13
