ticker,entrada_data,entry,stop,alvo,saida_data,R
CAT,2024-01-05,278.44,233.03,414.66,2024-04-03,1.88
CAT,2024-01-25,291.19,266.88,364.11,2024-04-04,3.0
CAT,2024-02-22,311.83,300.89,344.65,2024-03-20,3.0
CAT,2024-03-07,329.38,302.78,409.2,2024-06-03,-0.28
CAT,2024-10-04,387.41,318.16,595.17,2024-12-31,-0.47
CAT,2024-10-16,384.03,375.47,409.7,2024-10-23,-1.0
CAT,2025-06-11,358.59,335.24,428.62,2025-07-25,3.0
CAT,2026-02-24,765.35,741.36,837.32,2026-02-26,-1.0
CAT,2026-03-02,749.5,741.36,773.92,2026-03-03,-1.0
CAT,2026-04-21,798.97,751.62,941.01,2026-06-04,3.0
CAT,2026-04-30,888.46,751.62,1298.98,2026-07-28,-0.35
COP,2018-01-08,43.38,41.39,49.36,2018-02-06,-1.0
COP,2018-01-11,44.68,41.39,54.55,2018-02-06,-1.0
COP,2018-07-13,54.87,49.38,71.36,2018-10-08,0.92
COP,2019-03-04,53.96,50.38,64.71,2019-03-08,-1.0
COP,2019-12-02,47.43,44.23,57.02,2020-02-25,-1.0
COP,2020-06-05,38.83,33.28,55.49,2020-06-15,-1.0
COP,2021-06-01,48.43,45.44,57.41,2021-07-19,-1.0
COP,2022-10-13,107.82,85.32,175.33,2023-01-10,-0.14
COP,2023-08-30,108.11,103.7,121.33,2023-10-04,-1.0
COP,2024-03-11,106.78,102.7,119.01,2024-03-28,3.0
COST,2017-01-05,138.04,127.16,170.68,2017-04-03,0.33
COST,2017-05-19,152.17,150.8,156.26,2017-05-26,3.0
COST,2017-11-01,144.69,139.63,159.88,2017-11-30,3.0
COST,2018-04-26,174.64,162.94,209.77,2018-07-23,1.85
COST,2018-06-15,185.97,174.92,219.13,2018-09-10,3.0
COST,2019-03-28,218.02,195.02,287.03,2019-06-24,1.03
COST,2019-04-04,220.89,195.02,298.52,2019-07-01,0.69
COST,2021-04-12,344.34,304.29,464.48,2021-07-07,0.96
